TadpoleDensity,MayflyDensity,GrowthPeriod,FilterWt,DryWt,AshedWt,AFDM,IM,AFDM/cm2/d
0,0,8,0.125,0.1397,0.1355,0.0042,0.0105,8.27032E-06
0,0,8,0.1205,0.1318,0.1281,0.0037,0.0076,7.28576E-06
0,0,8,0.1236,0.1337,0.1302,0.0035,0.0066,6.89193E-06
0,0,8,0.1248,0.1342,0.1307,0.0035,0.0059,6.89193E-06
16,250,8,0.1205,0.1227,0.1212,0.0015,0.0007,2.95369E-06
16,250,8,0.1256,0.133,0.1311,0.0019,0.0055,3.74134E-06
16,250,8,0.12,0.1241,0.1221,0.002,0.0021,3.93825E-06
16,250,8,0.125,0.1334,0.1303,0.0031,0.0053,6.10428E-06
16,250,8,0.1203,0.129,0.1261,0.0029,0.0058,5.71046E-06
16,250,8,0.1253,0.1325,0.1299,0.0026,0.0046,5.11972E-06
16,250,8,0.1201,0.1242,0.1224,0.0018,0.0023,3.54442E-06
16,250,8,0.1245,0.1293,0.1276,0.0017,0.0031,3.34751E-06
16,250,8,0.1252,0.1323,0.1297,0.0026,0.0045,5.11972E-06
16,250,8,0.124,0.1285,0.1267,0.0018,0.0027,3.54442E-06
16,250,8,0.1247,0.133,0.1308,0.0022,0.0061,4.33207E-06
16,250,8,0.1245,0.1361,0.1334,0.0027,0.0089,5.31664E-06
16,250,8,0.1224,0.1309,0.1287,0.0022,0.0063,4.33207E-06
16,250,8,0.1219,0.1375,0.1341,0.0034,0.0122,6.69502E-06
16,0,8,0.1195,0.1266,0.1247,0.0019,0.0052,3.74134E-06
16,0,8,0.1195,0.1293,0.1266,0.0027,0.0071,5.31664E-06
16,0,8,0.1194,0.1218,0.1208,0.001,0.0014,1.96912E-06
16,0,8,0.1183,0.126,0.1236,0.0024,0.0053,4.7259E-06
16,0,8,0.1234,0.1273,0.1257,0.0016,0.0023,3.1506E-06
16,0,8,0.1179,0.1225,0.1207,0.0018,0.0028,3.54442E-06
16,0,8,0.1258,0.1265,0.125,0.0015,-0.0008,2.95369E-06
16,0,8,0.1204,0.1242,0.1218,0.0024,0.0014,4.7259E-06
16,0,8,0.1181,0.125,0.1231,0.0019,0.005,3.74134E-06
16,0,8,0.1199,0.1255,0.1236,0.0019,0.0037,3.74134E-06
16,0,8,0.1182,0.1252,0.1236,0.0016,0.0054,3.1506E-06
16,0,8,0.1168,0.1205,0.119,0.0015,0.0022,2.95369E-06
16,0,8,0.1253,0.1308,0.1288,0.002,0.0035,3.93825E-06
16,0,8,0.119,0.1235,0.1217,0.0018,0.0027,3.54442E-06
0,250,8,0.1237,0.1281,0.1263,0.0018,0.0026,3.54442E-06
0,250,8,0.1248,0.1285,0.1269,0.0016,0.0021,3.1506E-06
0,0,8,0.1212,0.1324,0.1281,0.0043,0.0069,8.46723E-06
0,0,8,0.1193,0.1308,0.1263,0.0045,0.007,8.86106E-06
0,0,8,0.1188,0.1356,0.1287,0.0069,0.0099,1.3587E-05
0,0,8,0.1205,0.1319,0.1272,0.0047,0.0067,9.25488E-06
0,0,8,0.1198,0.126,0.1233,0.0027,0.0035,5.31664E-06
0,0,8,0.1198,0.1263,0.1224,0.0039,0.0026,7.67958E-06
0,0,8,0.12,0.1497,0.1379,0.0118,0.0179,2.32357E-05
0,0,8,0.1192,0.1234,0.1216,0.0018,0.0024,3.54442E-06
0,0,8,0.1197,0.1325,0.1273,0.0052,0.0076,1.02394E-05
0,0,13,0.1201,0.1244,0.1222,0.0022,0.0021,2.66589E-06
0,0,8,0.1181,0.1204,0.1194,0.001,0.0013,1.96912E-06
0,0,8,0.119,0.1226,0.1206,0.002,0.0016,3.93825E-06
0,0,8,0.1212,0.1227,0.1217,0.001,0.0005,1.96912E-06
0,0,8,0.1189,0.1222,0.1204,0.0018,0.0015,3.54442E-06
0,0,8,0.1202,0.1248,0.1229,0.0019,0.0027,3.74134E-06
0,250,8,0.1199,0.1256,0.1226,0.003,0.0027,5.90737E-06
0,250,8,0.1193,0.1335,0.1283,0.0052,0.009,1.02394E-05
0,250,8,0.1195,0.1262,0.1233,0.0029,0.0038,5.71046E-06
0,250,8,0.1203,0.129,0.1255,0.0035,0.0052,6.89193E-06
0,250,8,0.1209,0.135,0.1297,0.0053,0.0088,1.04364E-05
0,250,8,0.1203,0.1321,0.1274,0.0047,0.0071,9.25488E-06
0,250,8,0.1197,0.1301,0.1252,0.0049,0.0055,9.64871E-06
0,250,8,0.1187,0.1399,0.1327,0.0072,0.014,1.41777E-05
0,250,8,0.1195,0.1325,0.1276,0.0049,0.0081,9.64871E-06
0,250,8,0.1207,0.1264,0.1241,0.0023,0.0034,4.52899E-06
0,250,8,0.1184,0.1288,0.1248,0.004,0.0064,7.8765E-06
0,250,9,0.0354,,,0,-0.0354,0
16,250,9,0.0354,,,0,-0.0354,0
16,0,9,0.0354,,,0,-0.0354,0
16,250,8,0.0354,0.0429,0.0403,0.0026,0.0049,5.11972E-06
0,250,8,0.0354,0.0391,0.0375,0.0016,0.0021,3.1506E-06
0,0,8,0.0354,0.0429,0.0395,0.0034,0.0041,6.69502E-06
0,250,8,0.0355,0.0387,0.037,0.0017,0.0015,3.34751E-06
16,0,8,0.0355,0.0376,0.0372,0.0004,0.0017,7.8765E-07
0,250,8,0.0355,0.0405,0.0382,0.0023,0.0027,4.52899E-06
0,0,8,0.0355,0.0403,0.0382,0.0021,0.0027,4.13516E-06
16,250,8,0.0356,,,0,-0.0356,0
0,0,9,0.0356,0.0413,0.039,0.0023,0.0034,4.02576E-06
16,250,16,0.0356,,,0,-0.0356,0
16,0,9,0.0356,0.0473,0.0443,0.003,0.0087,5.251E-06
0,250,9,0.0357,0.0388,0.0374,0.0014,0.0017,2.45047E-06
0,0,9,0.0357,0.0436,0.0408,0.0028,0.0051,4.90093E-06
0,0,17,0.0357,,,0,-0.0357,0
0,0,9,0.0357,0.0415,0.0394,0.0021,0.0037,3.6757E-06
16,0,9,0.0357,0.0419,0.0403,0.0016,0.0046,2.80053E-06
16,0,9,0.0357,0.0419,0.0397,0.0022,0.004,3.85073E-06
0,250,9,0.0358,0.0393,0.0377,0.0016,0.0019,2.80053E-06
0,250,8,0.036,0.0397,0.0385,0.0012,0.0025,2.36295E-06
0,250,9,0.036,0.0408,0.0392,0.0016,0.0032,2.80053E-06
16,250,8,0.0361,,,0,-0.0361,0
16,250,8,0.0361,0.0384,0.0374,0.001,0.0013,1.96912E-06
16,250,16,0.0362,,,0,-0.0362,0
0,0,8,0.0362,0.0464,0.0438,0.0026,0.0076,5.11972E-06
16,250,7,0.0363,0.0385,0.0371,0.0014,0.0008,3.1506E-06
16,250,8,0.0365,,,0,-0.0365,0
16,0,8,0.0365,0.0406,0.0394,0.0012,0.0029,2.36295E-06
0,250,8,0.0366,0.0438,0.0411,0.0027,0.0045,5.31664E-06
0,250,9,0.0366,0.0461,0.0435,0.0026,0.0069,4.55086E-06
